tutorid; groupid; date; participants; droppedout;
2; 1; Mo. 09:30; {137614,505123,333904,584911}; {0,-2,0,0};
1; 2; Mo. 11:30; {210651,657111}; {0,1};
1; 3; Tue. 09:00; {480513,232120,551742,453668}; {0,-2,0,0};
1; 4; Tue. 09:30; {381627,457213}; {0,0};
1; 5; Tue. 10:00; {815401,340826}; {0,1};
2; 6; Tue. 10:30; {975548,203071,624839}; {0,2,0};
1; 7; Tue. 11:30; {423106,418359}; {0,2};
1; 8; Wed. 09:30; {474940,255786,859616,617628}; {0,0,0,-0};
2; 9; Wed. 10:00; {333363,252051,735393,795377}; {0,0,0,2};
1; 10; Wed. 11:00; {661404,154655,270835}; {0,-1,0};
1; 11; Wed. 11:30; {869145,984733}; {2,0};
2; 34; Thu. 10:00; {730296,284651}; {0,0};
1; 55; Thu. 11:00; {903882,320444}; {0,0};
1; 67; Fr. 10:00; {656141,977320}; {-1,0};
