groupid; 1; 1a; 1b; 1c; 2; 2a; 2b; 2c; 3; 3a; 3b; 3c; 3d; 4; 5;
1; 3; 0; 1; 2; 3; 1; 2; 0; 2; 2; 0; 0; 0; 3; 3;
2; 5; 3; 1; 1; 6; 1; 4; 1; 9; 2; 1; 2; 4; 4; 3;
3; 3; 2; 1; 0; 2; 1; 1; 0; 2; 0; 0; 0; 2; 1; 3;
4; 4; 1; 1; 2; 6; 1; 4; 1; 5; 1; 0; 1; 3; 4; 3;
5; 7; 2; 1; 4; 6; 1; 4; 1; 9; 2; 1; 2; 4; 4; 3;
6; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0;
7; 2; 1; 1; 0; 5; 1; 3; 1; 3; 0; 1; 1; 1; 3; 3;
8; 7; 2; 1; 4; 6; 1; 4; 1; 6; 2; 1; 2; 1; 4; 3;
9; 9; 4; 1; 4; 6; 1; 4; 1; 8; 2; 1; 2; 3; 4; 3;
10; 8; 3; 1; 4; 5; 1; 3; 1; 8; 1; 1; 2; 4; 4; 3;
11; 1; 0; 1; 0; 3; 1; 1; 1; 1; 0; 0; 0; 1; 3; 2;
34; 2; 0; 1; 1; 3; 1; 1; 1; 1; 0; 0; 1; 0; 4; 2;
55; 9; 4; 1; 4; 1; 0; 0; 1; 3; 0; 1; 1; 1; 4; 3;
67; 5; 1; 1; 3; 3; 1; 1; 1; 4; 1; 1; 1; 1; 4; 1;
