groupid; 1; 1a; 1b; 1c; 2; 2a; 2b; 2c; 2d; 3; 3a; 3b; 4; 4a; 4b; 4c; 4d;
1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
2; 2; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1;
3; 1; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0;
4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 2; 0; 0; 0; 0; 0;
5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
6; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 3; 0; 1; 1; 1;
7; 4; 0; 2; 2; 6; 1; 3; 1; 1; 5; 3; 2; 3; 0; 0; 2; 1;
8; 10; 3; 3; 4; 8; 2; 3; 1; 2; 8; 4; 4; 10; 4; 2; 3; 1;
9; 6; 1; 2; 3; 2; 0; 0; 1; 1; 3; 2; 1; 10; 4; 2; 3; 1;
10; 11; 4; 3; 4; 5; 2; 0; 1; 2; 3; 2; 1; 2; 1; 1; 0; 0;
11; 1; 0; 0; 1; 3; 0; 1; 0; 2; 4; 3; 1; 1; 0; 0; 1; 0;
34; 4; 3; 1; 0; 2; 0; 0; 1; 1; 7; 3; 4; 2; 0; 1; 1; 0;
55; 4; 2; 1; 1; 3; 1; 0; 1; 1; 3; 0; 3; 2; 0; 1; 0; 1;
67; 3; 1; 1; 1; 4; 2; 0; 0; 2; 3; 2; 1; 4; 2; 0; 1; 1;
