groupid; date; participants; droppedout;
1; Mo. 08:30;{156522,207899}; 0;
2; Mo. 09:00; {382990,506056}; 1;
3; Tue. 19:30; {795133,990160,848201,795133}; 3;
4; Tue. 20:00; {968125,897566}; 0;
5; Wed. 11:30; {848201,795133}; 0;
6; Wed. 12:00; {730725,676026}; 0;
7; Wed. 13:30; {635406,599984}; 0;
8; Thu. 01:30; {600908,475890}; 0;
9; Thu. 02:00; {410643,326731}; 0;
10; Fr. 15:30; {261852, 158110}; 0;
11; Fr. 16:00; {105645, 106172}; 0;
12; Fr. 16:00; {105645, 106172}; 0;
13; Fr. 16:00; {105645, 106172}; 0;
14; Fr. 16:00; {105645, 106172}; 0;
15; Fr. 16:00; {105645, 106172}; 0;
