groupid; 1; 1a; 1b-1; 1b-2; 1c; 2; 2a-1; 2a-2; 2a-3; 3; 3a-1; 3a-2; 3b; 4; 4a; 4b; 4c; 4d;
1; 2; 0; 1; 1; 0; 2; 1; 0; 1; 3; 2; 1; 0; 4; 2; 0; 2; 0;
2; 9; 3; 0; 2; 4; 11; 3; 4; 4; 5; 3; 1; 1; 11; 4; 1; 2; 4;
3; 6; 3; 1; 1; 1; 10; 3; 4; 3; 7; 4; 2; 1; 9; 2; 1; 3; 3;
4; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 2; 0; 1; 1; 0;
5; 4; 1; 2; 1; 0; 4; 1; 2; 1; 3; 0; 3; 0; 3; 1; 0; 0; 2;
6; 6; 3; 2; 0; 1; 8; 2; 4; 2; 8; 4; 3; 1; 12; 4; 1; 3; 4;
7; 7; 2; 0; 1; 4; 4; 0; 1; 3; 4; 1; 2; 1; 7; 2; 1; 0; 4;
8; 12; 3; 3; 2; 4; 11; 3; 4; 4; 8; 4; 3; 1; 12; 4; 1; 3; 4;
9; 7; 2; 3; 2; 0; 10; 3; 3; 4; 8; 4; 3; 1; 4; 0; 1; 3; 0;
10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 1; 0; 0; 0; 0; 0;
11; 10; 3; 3; 2; 2; 4; 2; 0; 2; 4; 1; 2; 1; 2; 0; 0; 0; 2;
12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0;
13; 8; 2; 3; 2; 1; 1; 0; 0; 1; 6; 2; 3; 1; 2; 1; 0; 0; 1;
14; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 0;
34; 9; 3; 3; 1; 2; 11; 3; 4; 4; 8; 4; 3; 1; 11; 3; 1; 3; 4;
55; 8; 1; 2; 2; 3; 3; 2; 0; 1; 8; 4; 3; 1; 12; 4; 1; 3; 4;
67; 9; 2; 3; 2; 2; 8; 0; 4; 4; 8; 4; 3; 1; 12; 4; 1; 3; 4;
