groupid; 1; 1a-1; 1a-2; 1a-3; 2; 2a-1; 2a-2; 2a-3; 3; 4; 4a-1; 4a-2; 4a-3; 5; 5a-1; 5a-2; 5a-3; 5b;
1; 5; 1; 2; 2; 5; 2; 2; 1; 3; 5; 2; 1; 2; 5; 1; 0; 1; 3;
2; 1; 0; 0; 1; 2; 0; 1; 1; 1; 1; 1; 0; 0; 2; 0; 1; 1; 0;
3; 2; 0; 1; 1; 5; 2; 0; 3; 2; 4; 0; 1; 3; 3; 2; 0; 1; 0;
4; 7; 1; 3; 3; 10; 3; 4; 3; 4; 10; 2; 4; 4; 9; 2; 2; 1; 4;
5; 4; 1; 3; 0; 8; 3; 3; 2; 4; 6; 2; 3; 1; 9; 2; 2; 1; 4;
6; 7; 1; 3; 3; 5; 3; 1; 1; 4; 3; 2; 0; 1; 6; 1; 1; 1; 3;
7; 4; 1; 1; 2; 1; 0; 1; 0; 1; 2; 0; 1; 1; 1; 1; 0; 0; 0;
8; 3; 1; 2; 0; 4; 2; 1; 1; 4; 2; 0; 1; 1; 5; 1; 2; 1; 1;
9; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
10; 5; 1; 2; 2; 1; 0; 0; 1; 3; 7; 2; 3; 2; 3; 0; 2; 0; 1;
11; 0; 0; 0; 0; 2; 0; 1; 1; 0; 0; 0; 0; 0; 2; 0; 1; 0; 1;
12; 7; 1; 3; 3; 6; 3; 1; 2; 4; 6; 2; 1; 3; 2; 0; 1; 1; 0;
13; 7; 1; 3; 3; 3; 3; 0; 0; 4; 7; 2; 2; 3; 7; 2; 2; 1; 2;
14; 7; 1; 3; 3; 6; 0; 3; 3; 4; 9; 2; 4; 3; 9; 2; 2; 1; 4;
34; 3; 1; 0; 2; 6; 3; 3; 0; 4; 4; 1; 1; 2; 3; 0; 1; 0; 2;
55; 7; 1; 3; 3; 4; 1; 1; 2; 4; 6; 2; 2; 2; 9; 2; 2; 1; 4;
67; 7; 1; 3; 3; 5; 2; 2; 1; 4; 4; 2; 0; 2; 4; 0; 2; 1; 1;
