groupid; 1; 1a; 1b; 1c; 2; 2a; 2b-1; 2b-2; 3; 3a; 3b; 3c-1; 3c-2; 4; 4a-1; 4a-2; 4a-3;
1; 1; 1; 0; 0; 1; 1; 0; 0; 4; 2; 0; 2; 0; 1; 0; 1; 0;
2; 2; 2; 0; 0; 4; 2; 0; 2; 0; 0; 0; 0; 0; 2; 1; 0; 1;
3; 3; 2; 0; 1; 7; 1; 3; 3; 6; 2; 0; 4; 0; 4; 1; 2; 1;
4; 7; 2; 3; 2; 4; 1; 1; 2; 11; 2; 1; 4; 4; 4; 1; 2; 1;
5; 7; 2; 3; 2; 7; 3; 2; 2; 10; 2; 1; 3; 4; 4; 1; 2; 1;
6; 5; 2; 1; 2; 5; 1; 1; 3; 6; 2; 1; 2; 1; 4; 1; 2; 1;
7; 6; 2; 2; 2; 7; 3; 2; 2; 10; 2; 1; 3; 4; 4; 1; 2; 1;
8; 5; 2; 1; 2; 8; 4; 2; 2; 11; 2; 1; 4; 4; 4; 1; 2; 1;
9; 7; 2; 3; 2; 8; 2; 3; 3; 11; 2; 1; 4; 4; 4; 1; 2; 1;
10; 7; 2; 3; 2; 9; 4; 2; 3; 9; 2; 1; 2; 4; 4; 1; 2; 1;
11; 0; 0; 0; 0; 3; 1; 2; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1;
12; 2; 1; 1; 0; 1; 0; 1; 0; 4; 1; 1; 2; 0; 3; 0; 2; 1;
13; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0;
14; 7; 2; 3; 2; 10; 4; 3; 3; 8; 2; 1; 1; 4; 4; 1; 2; 1;
34; 3; 2; 0; 1; 5; 1; 3; 1; 8; 1; 1; 3; 3; 4; 1; 2; 1;
55; 7; 2; 3; 2; 2; 1; 1; 0; 5; 2; 0; 2; 1; 4; 1; 2; 1;
67; 1; 1; 0; 0; 4; 1; 1; 2; 1; 0; 0; 1; 0; 1; 0; 1; 0;
